avg_age,avg_market_value,foreigners,players,season,team,total_market_value
"24,7","13,84 mln €",31,40,15/16,Chelsea FC,"553,50 mln €"
"25,4","13,14 mln €",27,38,15/16,Manchester City,"499,35 mln €"
"24,7","11,17 mln €",29,41,15/16,FC Arsenal,"457,85 mln €"
"25,1","30,84 mln €",23,34,19/20,Manchester City,"1,05 mld €"
"23,5","10,00 mln €",25,44,15/16,Manchester United,"439,85 mln €"
"23,3","17,90 mln €",31,56,19/20,FC Liverpool,"1,00 mld €"
"24,8","14,01 mln €",41,49,16/17,Chelsea FC,"686,70 mln €"
"23,4","8,53 mln €",27,44,15/16,FC Liverpool,"375,25 mln €"
"23,7","12,00 mln €",16,31,15/16,Tottenham Hotspur,"371,85 mln €"
"24,9","29,01 mln €",23,36,20/21,Manchester City,"1,04 mld €"
"24,3","26,16 mln €",34,46,18/19,Manchester City,"1,20 mld €"
"27,5","43,60 mln €",15,22,21/22,Manchester City,"959,30 mln €"
"24,8","22,41 mln €",22,36,19/20,Tottenham Hotspur,"806,80 mln €"
"25,7","13,79 mln €",36,44,16/17,Manchester City,"606,70 mln €"
"25,7","6,41 mln €",21,39,15/16,FC Everton,"249,85 mln €"
"25,0","6,44 mln €",20,35,15/16,FC Southampton,"225,50 mln €"
"24,4","22,55 mln €",28,43,20/21,FC Liverpool,"969,65 mln €"
"24,7","30,06 mln €",25,39,18/19,FC Liverpool,"1,17 mld €"
"27,1","33,35 mln €",19,27,21/22,FC Liverpool,"900,50 mln €"
"25,1","31,53 mln €",21,32,17/18,Manchester City,"1,01 mld €"
"24,1","19,61 mln €",22,36,19/20,Chelsea FC,"705,85 mln €"
"23,7","14,31 mln €",20,38,16/17,Tottenham Hotspur,"543,65 mln €"
"24,2","4,03 mln €",28,50,15/16,West Ham United,"201,33 mln €"
"25,2","22,80 mln €",23,39,20/21,Chelsea FC,"889,20 mln €"
"25,6","21,60 mln €",40,54,18/19,Chelsea FC,"1,17 mld €"
"26,9","31,56 mln €",19,27,21/22,Chelsea FC,"852,00 mln €"
"24,7","19,22 mln €",33,46,17/18,Chelsea FC,"884,25 mln €"
"23,9","15,59 mln €",24,43,19/20,Manchester United,"670,45 mln €"
"24,7","12,90 mln €",26,42,16/17,FC Arsenal,"542,00 mln €"
"24,4","12,65 mln €",25,42,16/17,Manchester United,"531,45 mln €"
"24,5","4,71 mln €",26,42,15/16,Newcastle United,"198,00 mln €"
"24,9","19,74 mln €",24,39,20/21,Manchester United,"770,05 mln €"
