avg_age,avg_market_value,foreigners,players,season,team,total_market_value
24.7,€13.84m,31,40,15/16,Chelsea FC,€553.50m
25.4,€13.14m,27,38,15/16,Manchester City,€499.35m
24.7,€11.17m,29,41,15/16,Arsenal FC,€457.85m
24.9,€29.01m,23,36,20/21,Manchester City,€1.04bn
23.5,€10.00m,25,44,15/16,Manchester United,€439.85m
24.4,€22.55m,28,43,20/21,Liverpool FC,€969.65m
25.2,€22.80m,23,39,20/21,Chelsea FC,€889.20m
23.4,€8.53m,27,44,15/16,Liverpool FC,€375.25m
23.7,€12.00m,16,31,15/16,Tottenham Hotspur,€371.85m
24.9,€19.74m,24,39,20/21,Manchester United,€770.05m
24.6,€17.16m,23,41,20/21,Tottenham Hotspur,€703.50m
25.7,€6.41m,21,39,15/16,Everton FC,€249.85m
24.4,€14.74m,26,42,20/21,Arsenal FC,€619.25m
24.7,€11.62m,26,44,20/21,Everton FC,€511.20m
25.0,€6.44m,20,35,15/16,Southampton FC,€225.50m
24.2,€4.03m,28,50,15/16,West Ham United,€201.33m
25.3,€12.77m,26,40,20/21,Leicester City,€510.70m
24.5,€4.71m,26,42,15/16,Newcastle United,€198.00m
25.1,€30.84m,23,34,19/20,Manchester City,€1.05bn
23.9,€11.85m,32,38,20/21,Wolverhampton Wanderers,€450.30m
23.3,€8.13m,24,53,20/21,Aston Villa,€430.75m
26.9,€4.60m,20,35,15/16,Leicester City,€161.10m
23.3,€17.90m,31,56,19/20,Liverpool FC,€1.00bn
24.8,€22.41m,22,36,19/20,Tottenham Hotspur,€806.80m
26.5,€8.59m,23,39,20/21,West Ham United,€334.90m
24.3,€6.31m,29,46,20/21,Brighton & Hove Albion,€290.40m
24.8,€14.01m,41,49,16/17,Chelsea FC,€686.70m
24.3,€26.16m,34,46,18/19,Manchester City,€1.20bn
27.3,€4.74m,24,31,15/16,Stoke City,€147.00m
24.1,€19.61m,23,36,19/20,Chelsea FC,€705.85m
27.5,€43.60m,15,22,21/22,Manchester City,€959.30m
24.5,€7.25m,19,39,20/21,Southampton FC,€282.80m
25.1,€31.53m,21,32,17/18,Manchester City,€1.01bn
25.7,€13.79m,36,44,16/17,Manchester City,€606.70m
24.7,€30.06m,25,39,18/19,Liverpool FC,€1.17bn
25.8,€4.05m,27,36,15/16,Swansea City,€145.80m
23.9,€15.59m,24,43,19/20,Manchester United,€670.45m
27.1,€33.35m,19,27,21/22,Liverpool FC,€900.50m
26.9,€7.74m,18,33,20/21,Newcastle United,€255.35m
24.7,€19.22m,33,46,17/18,Chelsea FC,€884.25m
23.7,€14.31m,20,38,16/17,Tottenham Hotspur,€543.65m
25.6,€21.60m,40,54,18/19,Chelsea FC,€1.17bn
27.4,€3.51m,35,39,15/16,Watford FC,€137.00m
24.3,€15.99m,23,38,19/20,Arsenal FC,€607.65m
26.9,€31.56m,19,27,21/22,Chelsea FC,€852.00m
26.4,€6.31m,30,38,20/21,Fulham FC,€239.75m
24.9,€24.50m,21,35,17/18,Liverpool FC,€857.50m
24.7,€12.90m,26,42,16/17,Arsenal FC,€542.00m
